ano;sigla_uf;sigla_uf_nome;id_municipio_nome;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;tempo_emprego;quantidade_horas_contratadas;indicador_trabalho_parcial;indicador_trabalho_intermitente;valor_remuneracao_media;cnae_2_subclasse_descricao_secao;idade;grau_instrucao_apos_2005;sexo;raca_cor;tamanho_estabelecimento;natureza_juridica_descricao;indicador_simples;salario_hora;ln_salario_hora
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;1;0;;11.5;44;Não;Não;2204.1;Indústrias De Transformação;29;MEDIO COMPL;Masculino;Branca;Até 4;Sociedade Empresária Limitada;Sim;12.523295454545455;2.5275905462561896
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;207.0;44;Não;Não;4563.45;Indústrias De Transformação;56;MEDIO INCOMP;Masculino;Não identificado;De 10 a 19;Sociedade Empresária Limitada;Sim;25.92869318181818;3.255350200356073
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;8;0;;4.1;44;Não;Não;2303.14;Indústrias De Transformação;21;MEDIO COMPL;Masculino;Branca;De 50 a 99;Sociedade Empresária Limitada;Não;13.086022727272727;2.571544693208436
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;7;0;;5.7;44;Não;Não;2470.07;Indústrias De Transformação;24;SUP. COMP;Masculino;Branca;De 5 a 9;Sociedade Empresária Limitada;Sim;14.034488636363637;2.6415177742632703
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;7;8;Término do contrato de trabalho.;1.4;44;Não;Não;1384.8;Indústrias De Transformação;20;MEDIO INCOMP;Masculino;Preta;De 100 a 249;Sociedade Anônima Fechada;Não;7.868181818181818;2.062827008823848
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;7;10;Transferência de empregado entre estabelecimentos da mesma empresa ou para outra empresa, sem ônus para a cedente;2.7;40;Não;Não;3560.36;Indústrias De Transformação;34;DOUTORADO;Masculino;Branca;Até 4;Sociedade Empresária Limitada;Não;22.25225;3.1024431270951087
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;8;9;Término do contrato de trabalho.;1.4;44;Não;Não;1570.59;Indústrias De Transformação;38;MEDIO COMPL;Feminino;Parda;De 20 a 49;Sociedade Empresária Limitada;Sim;8.923806818181818;2.1887226288888475
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;11;Rescisão sem justa causa por iniciativa do empregador.;20.3;44;Não;Não;2433.73;Indústrias De Transformação;32;MEDIO COMPL;Masculino;Parda;De 100 a 249;Sociedade Anônima Fechada;Não;13.828011363636364;2.626696343843562
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;2;0;;10.1;42;Não;Não;2000.0;Indústrias De Transformação;31;MEDIO INCOMP;Masculino;Branca;De 5 a 9;Sociedade Empresária Limitada;Sim;11.904761904761905;2.4769384801388235
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;11;Rescisão sem justa causa por iniciativa do empregador.;21.9;44;Não;Não;2046.04;Indústrias De Transformação;41;MEDIO COMPL;Feminino;Preta;Zero;Sociedade Empresária Limitada;Sim;11.625227272727273;2.4531775016244457
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;9;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;12.4;44;Não;Não;4162.01;Indústrias De Transformação;38;MEDIO COMPL;Masculino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;23.64778409090909;3.1632694146035556
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;71.3;44;Não;Não;2584.9;Indústrias De Transformação;59;MEDIO COMPL;Masculino;Parda;De 100 a 249;Sociedade Empresária Limitada;Não;14.686931818181819;2.686958106436569
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;8;11;Término do contrato de trabalho.;2.9;44;Não;Não;1574.4;Indústrias De Transformação;25;MEDIO COMPL;Masculino;Preta;De 100 a 249;Sociedade Empresária Limitada;Não;8.945454545454545;2.191145531259837
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;9;0;;3.1;40;Não;Não;2000.0;Indústrias De Transformação;53;MEDIO COMPL;Feminino;Branca;De 10 a 19;Sociedade Empresária Limitada;Não;12.5;2.5257286443082556
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;17.0;44;Não;Não;2738.38;Indústrias De Transformação;35;MEDIO COMPL;Masculino;Parda;De 100 a 249;Sociedade Empresária Limitada;Não;15.558977272727274;2.744637788616242
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;11;Rescisão sem justa causa por iniciativa do empregador.;13.1;44;Não;Não;3437.24;Indústrias De Transformação;37;MEDIO COMPL;Masculino;Parda;Zero;Sociedade Empresária Limitada;Não;19.529772727272725;2.9719401077124643
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;2;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;7.7;40;Não;Não;1650.7;Indústrias De Transformação;27;SUP. INCOMP;Masculino;Parda;De 100 a 249;Sociedade Empresária Limitada;Não;10.316875;2.3337809041196684
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Transferência sem Ônus;1;0;;12.0;44;Não;Não;1893.24;Indústrias De Transformação;52;MEDIO COMPL;Feminino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;10.757045454545455;2.375560931019211
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;2;Rescisão sem justa causa por iniciativa do empregador.;4.4;44;Não;Não;1500.0;Indústrias De Transformação;31;MEDIO COMPL;Masculino;Branca;Zero;Sociedade Empresária Limitada;Sim;8.522727272727273;2.1427363920521496
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;4;7;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;2.4;44;Não;Não;1435.56;Indústrias De Transformação;30;MEDIO COMPL;Masculino;Parda;De 5 a 9;Sociedade Empresária Limitada;Sim;8.156590909090909;2.0988263009326613
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;3;Rescisão sem justa causa por iniciativa do empregador.;20.5;43;Não;Não;2150.81;Indústrias De Transformação;39;MEDIO COMPL;Masculino;Branca;De 20 a 49;Sociedade Empresária Limitada;Sim;12.504709302325582;2.5261053175440304
